CODIGO,NOMBRE,TABLA,ATRIBUTO,DOMINIO,TIPO
0104P,Hito,0104P_HITO,TIPO_0104,01-02-03-04,String
0107S,Zona protegida,0107S_ZON_PRO,TIPO_0107,01-02,String
0201L,Curva de nivel,0201L_CUR_NIV,TIPO_0201,01-02-03-04,String
0201L,Curva de nivel,0201L_CUR_NIV,CATEG_0201,01-02-03,String
0201L,Curva de nivel,0201L_CUR_NIV,ORIGE_0201,00-01-02-03-04,String
0201L,Curva de nivel,0201L_CUR_NIV,COTA_0201,,Integer
0204P,Punto acotado,0204P_PUN_ACO,SITUA_0204,00-01-02,String
0204P,Punto acotado,0204P_PUN_ACO,TIPO_0204,00-01-02-03-04-05,String
0204P,Punto acotado,0204P_PUN_ACO,COTA_0204,,Real
0204P,Punto acotado,0204P_PUN_ACO,JERARQUIA,01-02-03-04,String
0204P,Punto acotado,0204P_PUN_ACO,ID_NG,,Integer
0204P,Punto acotado,0204P_PUN_ACO,ID_NGSIERRA,,Integer
0204P,Punto acotado,0204P_PUN_ACO,CUMBRE_PRO,,String
0207L,Discontinuidad,0207L_DISCON_L,TIPO_0207,00-01-02,String
0207S,Discontinuidad,0207S_DISCON_S,TIPO_0207,05-06-07,String
0302L,Rio,0302L_RIO,COMPO_0302,01-02-03-04-05-06,String
0302L,Rio,0302L_RIO,PERSI_0302,01-02-03,String
0302L,Rio,0302L_RIO,JERAR_0302,01-02-03-04,String
0302L,Rio,0302L_RIO,FUENTE,,String
0302L,Rio,0302L_RIO,ID_CURSO,,String
0302S,Rio,0302S_RIO,COMPO_0302,01-02,String
0302S,Rio,0302S_RIO,PERSI_0302,01-02-03-04,String
0302S,Rio,0302S_RIO,JERAR_0302,01-02-03-04,String
0302S,Rio,0302S_RIO,FUENTE,,String
0302S,Rio,0302S_RIO,ID_CURSO,,String
0305L,Cauce artificial,0305L_CAU_ART,COMPO_0305,01-02-03,String
0305L,Cauce artificial,0305L_CAU_ART,SITUA_0305,01-02-03,String
0305L,Cauce artificial,0305L_CAU_ART,ESTAD_0305,01-02-04,String
0305L,Cauce artificial,0305L_CAU_ART,TIPO_0305,01-02-03,String
0305L,Cauce artificial,0305L_CAU_ART,FUENTE,,String
0305L,Cauce artificial,0305L_CAU_ART,ID_CURSO,,String
0305S,Cauce artificial,0305S_CAU_ART,SITUA_0305,02-03,String
0305S,Cauce artificial,0305S_CAU_ART,ESTAD_0305,01-02-04,String
0305S,Cauce artificial,0305S_CAU_ART,FUENTE,,String
0305S,Cauce artificial,0305S_CAU_ART,ID_CURSO,,String
0308L,Tubería de servicio,0308L_TUB_SERV,SITUA_0308,01-02-03,String
0316S,Laguna,0316S_LAGUNA,REGIM_0316,01-02,String
0316S,Laguna,0316S_LAGUNA,TIPO_0316,00-01-02,String
0319S,Humedal,0319S_HUMEDA,TIPO_0319,01-02,String
0325S,Embalse,0325S_EMBALSE,ESTAD_0325,01-02-03,String
0325S,Embalse,0325S_EMBALSE,ZMAX_0325,,Real
0325S,Embalse,0325S_EMBALSE,CATAL_0325,01-02,String
0328S,Almacenamiento de agua,0328S_ALM_AGU,TIPO_0328,01-04,String
0331S,Depósito de agua,0331S_DEP_AGU,SITUA_0331,01-02-03,String
0334P,Surgencia,0334P_SURGEN,TIPO_0334,01-02-03,String
0337P,Cascada,0337P_CASCADA,,,
0343P,Hito kilométrico de canal,0343P_HIT_KIL_CAN,,,
0346P,Boca de hidrografía,0346P_BOC_HID,,,
0352L,Línea de cota,0352L_LIN_COS,,,
0355S,Isla,0355S_ISLA,TIPO_0355,01-02,String
0355S,Isla,0355S_ISLA,TAMAN_0355,00-01-02-03-04-98-99,String
0358S,Salina,0358S_SALINA,COMPO_0358,02,String
0401L,Cortafuego,0401L_CORTAF,COMPO_0401,01-02,String
0404P,Árbol,0404P_ARBOL,TIPO_0404,01-02,String
0407S,Cultivo intensivo,0407S_CUL_INT,TIPO_0407,01,String
0502P,Entidad de población,0502P_ENT_POB,TIPO_0502,01-02-03,String
0502P,Entidad de población,0502P_ENT_POB,INE_0502,00-01,String
0502P,Entidad de población,0502P_ENT_POB,CDEP_0502,,Integer
0502P,Entidad de población,0502P_ENT_POB,ID_EP_0502,,Integer
0502S,Entidad de población,0502S_ENT_POB,TIPO_0502,01-02-03,String
0502S,Entidad de población,0502S_ENT_POB,INE_0502,00-01,String
0502S,Entidad de población,0502S_ENT_POB,CDEP_0502,,Integer
0502S,Entidad de población,0502S_ENT_POB,ID_EP_0502,,Integer
0504S,Agrupación de edificios,0504S_AGR_EDI,TIPO_0504,02-03-04-05-08-09-10,String
0504S,Agrupación de edificios,0504S_AGR_EDI,ESTAD_0504,01-02,String
0507S,Edificación,0507S_EDIFIC,COMPO_0507,01,String
0507S,Edificación,0507S_EDIFIC,ESTAD_0507,01-03,String
0507S,Edificación,0507S_EDIFIC,SINGU_0507,01-02,String
0507S,Edificación,0507S_EDIFIC,AYUNT,SI-NO,String
0508S,Edificación y construcción,0508S_ED,TIPO_0508,01-03-04-05-06-07-08-09-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34,String
0508S,Edificación y construcción,0508S_ED,ESTAD_0508,01-03,String
0508S,Edificación y construcción,0508S_ED,SINGU_0508,01-02,String
0508S,Edificación y construcción,0508S_ED,FUENTE,01-02-03-04-05,String
0508S,Edificación y construcción,0508S_ED,REFCAT,,String
0508S,Edificación y construcción,0508S_ED,NINTERNO,,Integer
0508S,Edificación y construcción,0508S_ED,CONSTRU,,String
0508S,Edificación y construcción,0508S_ED,CMAX,,Real
0508S,Edificación y construcción,0508S_ED,NPLANTAS,,Integer
0508S,Edificación y construcción,0508S_ED,NSOTANOS,,Integer
0508S,Edificación y construcción,0508S_ED,COMENTARIO,,String
0508S,Edificación y construcción,0508S_ED,ID_HOS,,String
0508S,Edificación y construcción,0508S_ED,ID_EDU,,String
0513S,Instalación industrial,0513S_INS_IND,TIPO_0513,01-02-03-04-05-06-07,String
0513S,Instalación industrial,0513S_INS_IND,ESTAD_0513,01-03,String
0516S,Edificio religioso,0516S_EDI_REL,TIPO_0516,01-02-03-06-07,String
0516S,Edificio religioso,0516S_EDI_REL,CONFE_0516,01-04,String
0516S,Edificio religioso,0516S_EDI_REL,SINGU_0516,01-02,String
0516S,Edificio religioso,0516S_EDI_REL,ESTAD_0516,01-03,String
0519S,Molino,0519S_MOLINO,TIPO_0519,01-02,String
0522S,Cementerio,0522S_CEMENT,CONFE_0522,01-03,String
0525P,Monumento,0525P_MONUME,TIPO_0525,01-02,String
0528L,Cerramiento,0528L_CERRAM,TIPO_0528,01-02-03,String
0534S,Referencia visual,0534S_REF_VIS,TIPO_0534,01-02-03,String
0537P,Cueva,0537P_CUEVA,TIPO_0537,01-02-03,String
0537P,Cueva,0537P_CUEVA,ESTAD_0537,01-02-99,String
0540P,Explotación minera,0540P_EXP_MIN_P,TIPO_0540,01-02-03-04,String
0540P,Explotación minera,0540P_EXP_MIN_P,MATER_0540,00-01-02-03-04-05-06-07-08-09-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63-64-65-66-67-68-69-70-71-72-73-74-75-76-77-78-79-80-81-82-83-84-85-86-90-91-98,String
0540P,Explotación minera,0540P_EXP_MIN_P,ESTAD_0540,01-02,String
0540P,Explotación minera,0540P_EXP_MIN_P,SITUA_0540,01-02,String
0540S,Explotación minera,0540S_EXP_MIN_S,TIPO_0540,01-02-03-04,String
0540S,Explotación minera,0540S_EXP_MIN_S,MATER_0540,00-01-02-03-04-05-06-07-08-09-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63-64-65-66-67-68-69-70-71-72-73-74-75-76-77-78-79-80-81-82-83-84-85-86-90-91-98,String
0540S,Explotación minera,0540S_EXP_MIN_S,ESTAD_0540,01-02,String
0540S,Explotación minera,0540S_EXP_MIN_S,SITUA_0540,01-02,String
0543L,Túnel,0543L_TUNEL_L,ESTAD_0543,01-02,String
0543L,Túnel,0543L_TUNEL_L,ID_TRAMO,,Real
0543P,Túnel,0543P_TUNEL_P,TIPO_0543,01-02,String
0543P,Túnel,0543P_TUNEL_P,ESTAD_0543,01-02,String
0546L,Paso elevado,0546L_PAS_ELE,TIPO_0546,01-02-03-04,String
0546L,Paso elevado,0546L_PAS_ELE,ESTAD_0546,01-02,String
0546L,Paso elevado,0546L_PAS_ELE,ID_TRAMO,,Real
0549L,Acueducto,0549L_ACUEDU,ESTAD_0549,01-02,String
0552L,Presa,0552L_PRESA,MATER_0552,01-02,String
0552L,Presa,0552L_PRESA,ZCOR_0552,,Integer
0552L,Presa,0552L_PRESA,CATAL_0552,01-02,String
0555L,Construcción histórica,0555L_CON_HIS_L,TIPO_0555,01,String
0555L,Construcción histórica,0555L_CON_HIS_L,ESTAD_0555,01-02,String
0555S,Construcción histórica,0555S_CON_HIS_S,TIPO_0555,04,String
0555S,Construcción histórica,0555S_CON_HIS_S,ESTAD_0555,01-02,String
0558P,Yacimiento arqueológico,0558P_YAC_ARQ,TIPO_0558,01-02,String
0558S,Yacimiento arqueológico,0558S_YAC_ARQ_S,,,
0561S,Zona verde,0561S_ZON_VER,TIPO_0561,01-02,String
0564S,Instalación deportiva,0564S_INS_DEP,TIPO_0564,01-02-03-04-05-06-07-08,String
0567P,Instalación recreativa,0567P_INS_REC_P,TIPO_0567,06-07,String
0567S,Instalación recreativa,0567S_INS_REC_S,TIPO_0567,01-02-03-05,String
0570S,Construcción hidrográfica,0570S_CON_HID_S,TIPO_0570,01-02,String
0573S,Almacén de residuos,0573S_ALM_RES,TIPO_0573,01-05-06,String
